ID,URL,migrado,data_migracao
1,https://www.instagram.com/reel/DPHYVUwD7D0/?igsh=ancyZGlwbXZsNWx1,SIM,2025-12-26 21:48:37
2,https://www.instagram.com/reel/DCXInoBSICF/,SIM,2025-12-26 21:48:37
3,https://www.instagram.com/reel/DBv5oCVxtog/,SIM,2025-12-26 21:48:37
4,https://www.instagram.com/reel/DCotA2wNOd1/,SIM,2025-12-26 21:48:37
5,https://www.instagram.com/reel/DCT3tH_ASuC/,SIM,2025-12-26 21:48:37
6,https://www.instagram.com/share/reel/BBnUaaluMK,SIM,2026-01-19 11:28:41
7,https://www.instagram.com/share/reel/BAA5QBEBO5,SIM,2026-01-19 11:28:41
8,https://www.instagram.com/share/reel/BA3kxDOkzh,SIM,2026-01-01 21:29:27
9,https://www.instagram.com/share/reel/BAM5olgdom,SIM,2026-01-19 15:17:55
10,https://www.instagram.com/share/reel/BACXj2O0jD,SIM,
11,https://www.instagram.com/reel/DDhW5iLRaTP/,SIM,
12,https://www.instagram.com/reel/DDh7L7Ah2jg/,SIM,2026-01-01 21:29:27
13,https://www.instagram.com/reel/DDzlHZgSby8/,SIM,2026-01-01 21:29:27
14,https://www.instagram.com/reel/DD0RDlaplQs/,SIM,2026-01-01 21:29:27
15,https://www.instagram.com/reel/DDy3JOoRlrc/,SIM,2026-01-01 21:29:27
16,https://www.instagram.com/reel/DCwlw7uv6os/,SIM,2026-01-01 21:35:45
17,https://www.instagram.com/benignouw,SIM,2026-01-02 00:09:45
18,https://www.instagram.com/reel/DECQ0TLR-Mm/,SIM,2026-01-01 21:35:45
19,https://www.instagram.com/reel/DEDjiaZyrzG/,SIM,2026-01-01 21:35:45
20,https://www.instagram.com/getcaptionsapp,SIM,2026-01-02 00:10:02
21,https://www.instagram.com/reel/DDR8ocSxvev/,SIM,2026-01-01 21:35:45
22,https://www.instagram.com/reel/DEXVUBJOcLu/,SIM,2026-01-01 21:35:45
23,https://www.instagram.com/p/DE8Sv8NBkNs/?img_index=1,SIM,2026-01-02 00:10:22
24,https://www.instagram.com/reel/DANgsSluoAS/,SIM,2026-01-01 22:00:23
25,https://www.instagram.com/reel/DEEyxKYpirP/,SIM,2026-01-01 22:00:23
26,https://www.instagram.com/reel/DE7u0ipvzxW/,SIM,2026-01-01 22:00:23
27,https://www.instagram.com/reel/DCosRS1xYXX/,SIM,2026-01-01 22:00:23
28,https://www.instagram.com/reel/DFLEKZUxNTN/,SIM,2026-01-01 22:00:23
29,https://www.instagram.com/reel/DC9Bg0rO3MM/,SIM,2026-01-01 22:00:23
30,https://www.instagram.com/reel/DEStD5Ix9ag/,SIM,2026-01-01 22:00:23
31,https://www.instagram.com/reel/DDzrTjIvABc/,SIM,2026-01-01 22:00:23
32,https://www.instagram.com/reel/DFpIJMsMaVh/,SIM,2026-01-01 22:00:23
33,https://www.instagram.com/reel/DFvzce7vFM-/,SIM,2026-01-01 22:00:23
34,https://www.instagram.com/reel/DFv1HPITz6l/,SIM,2026-01-01 22:00:23
35,https://www.instagram.com/reel/DE93SNmoInU/,SIM,2026-01-01 22:00:23
36,https://www.instagram.com/p/DFVAmCMu_35/,SIM,2026-01-02 00:10:46
37,https://www.instagram.com/reel/DFhm52BC5Qx/,SIM,2026-01-01 22:00:23
38,https://www.instagram.com/reel/DF5t31XMSKe/,SIM,2026-01-01 22:00:23
39,https://www.instagram.com/reel/DFzyoVmxGb-/,SIM,2026-01-01 22:00:23
40,https://www.instagram.com/reel/DFt3mn3pdWn/,SIM,2026-01-02 00:11:04
41,https://www.instagram.com/reel/DF7X0opCAqp/,SIM,2026-01-02 00:11:34
42,https://www.instagram.com/p/DFKufUisMvS/,SIM,2026-01-02 00:12:05
43,https://www.instagram.com/reel/DF6Y-SuM3em/,SIM,2026-01-02 00:12:35
44,https://www.instagram.com/reel/DFSoQqcs-jl/,SIM,2026-01-02 00:13:06
45,https://www.instagram.com/reel/DCJwGAlJadm/,SIM,2026-01-02 00:13:36
46,https://www.instagram.com/reel/DAv1DWBJmTx/,SIM,2026-01-02 00:14:06
47,https://www.instagram.com/reel/DB_pciDRl5B/,SIM,2026-01-02 00:14:37
48,https://www.instagram.com/reel/DB8w1nrI8Ny/,SIM,2026-01-02 00:15:07
49,https://www.instagram.com/reel/DAlQPEJItAx/,SIM,2026-01-02 00:15:37
50,https://www.instagram.com/reel/DAiUOWoIuTq/,SIM,2026-01-02 00:16:08
51,https://www.instagram.com/p/DFQ-9-Wv44s/?img_index=6,SIM,2026-01-02 00:32:22
52,https://www.instagram.com/reel/DFiGXzuC8NC/,SIM,2026-01-02 00:32:36
53,https://www.instagram.com/reel/DF7iCRlzmx2/,SIM,2026-01-02 00:32:50
54,https://www.instagram.com/reel/DEXIKdDJ8xK/,SIM,2026-01-02 00:33:04
55,https://www.instagram.com/reel/DCvbp6oJ92q/,SIM,2026-01-02 00:33:34
56,https://www.instagram.com/reel/DGD52SUOknY/,SIM,2026-01-02 00:34:05
57,https://www.instagram.com/p/DGEmhzsRwg5/,SIM,2026-01-02 00:34:36
58,https://www.instagram.com/reel/DGL692AJ81i/,SIM,2026-01-02 00:35:02
59,https://www.instagram.com/reel/DDJB2lRtVXY/,SIM,2026-01-02 00:35:31
60,https://www.instagram.com/reel/DGABzx1MzVN/,SIM,2026-01-02 00:35:46
61,https://www.instagram.com/reel/DFsJ3TmgbZ4/,SIM,2026-01-02 00:36:16
62,https://www.instagram.com/reel/DFqlWCwStFV/,SIM,2026-01-02 00:36:47
63,https://www.instagram.com/reel/DCCZyGwIRzJ/,SIM,2026-01-02 00:37:17
64,https://www.instagram.com/reel/DGIgvYttXlw/,SIM,2026-01-02 00:37:47
65,https://www.instagram.com/reel/DBgs3xZOnUn/,SIM,2026-01-02 00:38:18
66,https://www.instagram.com/reel/DF-bNwtuOaw/,SIM,2026-01-02 00:38:48
67,https://www.instagram.com/reel/DEunbRVIGwj/,SIM,2026-01-02 00:39:18
68,https://www.instagram.com/reel/DCWNSxvv1wL/,SIM,2026-01-02 00:39:49
69,https://www.instagram.com/reel/DBMjg9GJKhc/,SIM,2026-01-02 00:40:19
70,https://www.instagram.com/reel/DAPqa5YIK6K/,SIM,2026-01-02 00:40:49
71,https://www.instagram.com/reel/DCXcQMoNoOR/,SIM,2026-01-02 00:41:20
72,https://www.instagram.com/reel/DBPSse9Pp_C/,SIM,2026-01-02 00:41:50
73,https://www.instagram.com/reel/DESZTHjOQB9/,SIM,2026-01-02 00:42:20
74,https://www.instagram.com/reel/DGU6HppNK7N/,SIM,2026-01-02 00:42:51
75,https://www.instagram.com/reel/DGWxv2hgl_M/,SIM,2026-01-02 00:43:21
76,https://www.instagram.com/reel/DFxa4siJJyp/,SIM,2026-01-19 15:48:57
77,https://www.instagram.com/reel/DGQmkIYJXFO/,SIM,2026-01-19 15:48:57
78,https://www.instagram.com/reel/DBwTCP2tJMZ/,SIM,2026-01-19 15:48:57
79,https://www.instagram.com/reel/DF-NkSyJzcC/,SIM,2026-01-19 15:59:59
80,https://www.instagram.com/reel/DGXDGYbR3Od/,SIM,2026-01-19 15:59:59
81,https://www.instagram.com/reel/DFnmACroecd/,SIM,2026-01-19 15:59:59
82,https://www.instagram.com/reel/DEVdFr9NoF9/,SIM,2026-01-19 15:59:59
83,https://www.instagram.com/reel/DGOCM6eOTf1/,SIM,2026-01-19 15:59:59
84,https://www.instagram.com/reel/DGhCSobtPcI/,NÃO,
85,https://www.instagram.com/reel/DFfdL92o8kj/,NÃO,
86,https://www.instagram.com/reel/DBZCSN-vkvI/,NÃO,
87,https://www.instagram.com/reel/DGYBdjRu6Ki/,NÃO,
88,https://www.instagram.com/p/DE8Sv8NBkNs/?img_index=5,SIM,2026-01-02 03:10:02
89,https://www.instagram.com/reel/DDIAME6MhzY/,NÃO,
90,https://www.instagram.com/reel/DCyxBb-KSVR/,NÃO,
91,https://www.instagram.com/reel/DCOz0YTizRP/,NÃO,
92,https://www.instagram.com/p/DCj1nQhPArO/,NÃO,
93,https://www.instagram.com/p/DCb9wOFRiiH/?img_index=1,NÃO,
94,https://www.instagram.com/reel/DBbkA-Yin0N/,NÃO,
95,https://www.instagram.com/reel/DAlIO7-o5rA/,NÃO,
96,https://www.instagram.com/reel/DA194-HNHFr/,NÃO,
97,https://www.instagram.com/reel/DBAT82GSpWq/,NÃO,
98,https://www.instagram.com/reel/DBgtmokuGlI/,NÃO,
99,https://www.instagram.com/reel/DBbkC2ipb0j/,NÃO,
100,https://www.instagram.com/reel/DBgtjC0KtYi/,NÃO,
101,https://www.instagram.com/reel/C_OzB7PSebp/,NÃO,
102,https://www.instagram.com/reel/DA2cTION5xk/,NÃO,
103,https://www.instagram.com/reel/DBT0cvgRDkH/,NÃO,
104,https://www.instagram.com/reel/DBKGJpAttvC/,NÃO,
105,https://www.instagram.com/reel/DAQ63g0MAny/,NÃO,
106,https://www.instagram.com/reel/DBSE3ygycJf/,NÃO,
107,https://www.instagram.com/reel/DBSI2HUPQ61/,NÃO,
108,https://www.instagram.com/reel/DBOlP0YxMML/,NÃO,
109,https://www.instagram.com/reel/DAWKP7rvYW1/,NÃO,
110,https://www.instagram.com/reel/DA6spZOS7OX/,NÃO,
111,https://www.instagram.com/reel/DBQ4woWSlr2/,NÃO,
112,https://www.instagram.com/reel/DBRmA4jO55g/,NÃO,
113,https://www.instagram.com/p/DAH5iv4gm1j/,NÃO,
114,https://www.instagram.com/reel/DA1uKkevWRZ/,NÃO,
115,https://www.instagram.com/reel/DBTy33IN7FM/,NÃO,
116,https://www.instagram.com/reel/DATk6TxPr4C/,NÃO,
117,https://www.instagram.com/reel/DBR1Bt9x13m/,NÃO,
118,https://www.instagram.com/reel/DA8-VBnA0bc/,NÃO,
119,https://www.instagram.com/reel/DAb8U26S3ft/,NÃO,
120,https://www.instagram.com/reel/DBJhpCSP7rh/,NÃO,
121,https://www.instagram.com/reel/DAgqZqBS76p/,NÃO,
122,https://www.instagram.com/reel/DAqmePrxD4T/,NÃO,
123,https://www.instagram.com/p/DA6uZCRRGwI/,NÃO,
124,https://www.instagram.com/reel/DA4KKYzRLWU/,NÃO,
125,https://www.instagram.com/reel/DPJdNIpiBtz/?igsh=MWl5ZXpiM2MwYThtNg==,NÃO,
126,https://www.instagram.com/reel/DBDvJpnyNDZ/,NÃO,
127,https://www.instagram.com/reel/DAHYA5eyTQ5/,NÃO,
128,https://www.instagram.com/reel/C_JWisxJjf1/,NÃO,
129,https://www.instagram.com/reel/C9h8PAstvHC/,NÃO,
130,https://www.instagram.com/reel/C97jWfwsTfL/,NÃO,
131,https://www.instagram.com/reel/DAdmjE5p-0j/,NÃO,
132,https://www.instagram.com/reel/DAWJNFNtjkx/,NÃO,
133,https://www.instagram.com/reel/C9wtwVQRzxR/,NÃO,
134,https://www.instagram.com/reel/C9Kn56NMnGL/,NÃO,
135,https://www.instagram.com/reel/DAYoAo3O_bx/,NÃO,
136,https://www.instagram.com/reel/C-shmkpxyPw/,NÃO,
137,https://www.instagram.com/reel/DAisAGIR1zl/,NÃO,
138,https://www.instagram.com/reel/C_9Eg4PvnP8/,NÃO,
139,https://www.instagram.com/reel/C_a8BRNxQSg/,NÃO,
140,https://www.instagram.com/reel/C9wTxt1yN1J/,NÃO,
141,https://www.instagram.com/reel/DAg4Gh3yoI9/,NÃO,
142,https://www.instagram.com/reel/C-H8bU-uGZa/,NÃO,
143,https://www.instagram.com/reel/C_dg7-RNWm7/,NÃO,
144,https://www.instagram.com/reel/DAjpqjYvXzc/,NÃO,
145,https://www.instagram.com/reel/DAO3ycRPoyL/,NÃO,
146,https://www.instagram.com/reel/C_gW4GvOIwH/,NÃO,
147,https://www.instagram.com/reel/C-2mnxqStqX/,NÃO,
148,https://www.instagram.com/reel/DAdidMOA1Oy/,NÃO,
149,https://www.instagram.com/reel/C9xqqDWRP77/,NÃO,
150,https://www.instagram.com/reel/DAYJq4ISWO1/,NÃO,
151,https://www.instagram.com/reel/DAX_r6pMSLy/,NÃO,
152,https://www.instagram.com/reel/C-xkddxs4_G/,NÃO,
153,https://www.instagram.com/reel/C_qdobDOoHU/,NÃO,
154,https://www.instagram.com/reel/C-QFNetCXyS/,NÃO,
155,https://www.instagram.com/reel/C-HqCtav7fG/,NÃO,
156,https://www.instagram.com/reel/C_XxRxwAAcQ/,NÃO,
157,https://www.instagram.com/reel/C-ka9kySuDR/,NÃO,
158,https://www.instagram.com/reel/C__IRVaP3cH/,NÃO,
159,https://www.instagram.com/reel/C_ktF0rSRvO/,NÃO,
160,https://www.instagram.com/reel/DAJKntgupHG/,NÃO,
161,https://www.instagram.com/reel/C94wXQPyFQT/,NÃO,
162,https://www.instagram.com/reel/C-cZcSDsS-o/,NÃO,
163,https://www.instagram.com/reel/C__q-BmvshS/,NÃO,
164,https://www.instagram.com/reel/C_GKjihtv9k/,NÃO,
165,https://www.instagram.com/reel/C-fLCqDRa0G/,NÃO,
166,https://www.instagram.com/reel/DAO6N0Qv7lY/,NÃO,
167,https://www.instagram.com/reel/DAWYswBP6Ka/,NÃO,
168,https://www.instagram.com/reel/C9aLLi6irfB/,NÃO,
169,https://www.instagram.com/reel/DAOVaV9Io5M/,NÃO,
170,https://www.instagram.com/reel/C-NVyzPNuNH/,NÃO,
171,https://www.instagram.com/reel/DAE358Qv7dz/,NÃO,
172,https://www.instagram.com/reel/DAGPTsZMLlA/,NÃO,
173,https://www.instagram.com/reel/DALaIClRNR2/,NÃO,
174,https://www.instagram.com/reel/C-zbxRkCYLT/,NÃO,
175,https://www.instagram.com/reel/DAOG8zxOmeS/,NÃO,
176,https://www.instagram.com/reel/DAJOMPwNTjf/,NÃO,
177,https://www.instagram.com/reel/DAJGk9_Of02/,NÃO,
178,https://www.instagram.com/reel/DAKb16DRYA-/,NÃO,
179,https://www.instagram.com/p/C_zU4EjIzL4/,NÃO,
180,https://www.instagram.com/reel/C-vAUcJRXBb/,NÃO,
181,https://www.instagram.com/p/DAIytFyg9Mh/,NÃO,
182,https://www.instagram.com/reel/DAG4qg5yuFa/,NÃO,
183,https://www.instagram.com/reel/C_h1XclsE5q/,NÃO,
184,https://www.instagram.com/reel/C_DfuEgODTt/,NÃO,
185,https://www.instagram.com/reel/C87KG8pxkwr/,NÃO,
186,https://www.instagram.com/reel/C9dSaxEhEtr/,NÃO,
187,https://www.instagram.com/reel/C_-w1Z0M0yD/,NÃO,
188,https://www.instagram.com/reel/C_6iSgMyf6Y/,NÃO,
189,https://www.instagram.com/reel/DACXA4ttBUn/,NÃO,
190,https://www.instagram.com/reel/C-aEbSOyK97/,NÃO,
191,https://www.instagram.com/reel/C_4KfZxRiOb/,NÃO,
192,https://www.instagram.com/reel/C_lxZsRPSM4/,NÃO,
193,https://www.instagram.com/reel/C_pnu2OoTdo/,NÃO,
194,https://www.instagram.com/reel/C_3jfABtx2G/,NÃO,
195,https://www.instagram.com/reel/C--e966oNMz/,NÃO,
196,https://www.instagram.com/reel/C_VVk9jyxEy/,NÃO,
197,https://www.instagram.com/reel/C-3XIAfMeET/,NÃO,
198,https://www.instagram.com/reel/C--W3KfIxTY/,NÃO,
199,https://www.instagram.com/reel/C_bD-YPPDq9/,NÃO,
200,https://www.instagram.com/reel/C_lMJTARQGh/,NÃO,
201,https://www.instagram.com/reel/C_I85xBvg3l/,NÃO,
202,https://www.instagram.com/reel/C_VYix9ypyx/,NÃO,
203,https://www.instagram.com/reel/C_VQe1bJlw3/,NÃO,
204,https://www.instagram.com/reel/C_IQc-4yBWi/,NÃO,
205,https://www.instagram.com/reel/C_IqIKZPRHS/,NÃO,
206,https://www.instagram.com/reel/C-fGSSmOKBU/,NÃO,
207,https://www.instagram.com/reel/C9NQFCaN0Ti/,NÃO,
208,https://www.instagram.com/reel/C-xpKWNBipD/,NÃO,
209,https://www.instagram.com/p/C-qdCoBSs28/,NÃO,
210,https://www.instagram.com/reel/C_HINfuP3fR/,NÃO,
211,https://www.instagram.com/reel/C-5BZi0JafI/,NÃO,
212,https://www.instagram.com/reel/C-8EB0RC8nf/,NÃO,
213,https://www.instagram.com/reel/C-3cwK0vP6F/,NÃO,
214,https://www.instagram.com/reel/C-faBl5OAdL/,NÃO,
215,https://www.instagram.com/reel/C8Ug_4LKPKE/,NÃO,
216,https://www.instagram.com/reel/C9ugyPOJ4Q2/,NÃO,
217,https://www.instagram.com/reel/C-twgO-NURJ/,NÃO,
218,https://www.instagram.com/reel/C-kuhOSx3xa/,NÃO,
219,https://www.instagram.com/reel/C7XGylSPXry/,NÃO,
220,https://www.instagram.com/p/C-vIEPsOQ0e/,NÃO,
221,https://www.instagram.com/reel/C-K6CScN19T/,NÃO,
222,https://www.instagram.com/reel/C-k-mOBuMhz/,NÃO,
223,https://www.instagram.com/p/C-XkjeitZf5/,NÃO,
224,https://www.instagram.com/reel/C-I2VUvAd0u/,NÃO,
225,https://www.instagram.com/reel/C8usTK8sijE/,NÃO,
226,https://www.instagram.com/reel/C9hYKHEK9LF/,NÃO,
227,https://www.instagram.com/reel/C9780SluFCC/,NÃO,
228,https://www.instagram.com/reel/C-D3GuwsnTR/,NÃO,
229,https://www.instagram.com/reel/C-MbpPHA1Im/,NÃO,
230,https://www.instagram.com/p/C95AAi_yS3E/,NÃO,
231,https://www.instagram.com/reel/C95DQESMioE/,NÃO,
232,https://www.instagram.com/reel/C9-elCapf8-/,NÃO,
233,https://www.instagram.com/reel/C9w7U5zqJeN/,NÃO,
234,https://www.instagram.com/reel/C9QMNuAPnTT/,NÃO,
235,https://www.instagram.com/p/C9NGq1iRV8g/,NÃO,
236,https://www.instagram.com/reel/C9xMcVcssTW/,NÃO,
237,https://www.instagram.com/reel/C97NZaaS4Av/,NÃO,
238,https://www.instagram.com/reel/C9nnsrNBIbm/,NÃO,
239,https://www.instagram.com/p/C9f6Y-0vjrG/,NÃO,
240,https://www.instagram.com/reel/C4JiXygL8Sm/,NÃO,
241,https://www.instagram.com/reel/C4MF6rjOO1t/,NÃO,
242,https://www.instagram.com/reel/C5J2w3Xuslc/,NÃO,
243,https://www.instagram.com/reel/C6W-ux-uI2k/,NÃO,
244,https://www.instagram.com/reel/C7eHi3NuK2j/,NÃO,
245,https://www.instagram.com/reel/C9zhlduugfs/,NÃO,
246,https://www.instagram.com/reel/C9vJCAYoH2L/,NÃO,
247,https://www.instagram.com/reel/C7AKPWlvF2z/,NÃO,
248,https://www.instagram.com/reel/C9Swg0Tolsv/,NÃO,
249,https://www.instagram.com/reel/C9pnBlluWuH/,NÃO,
250,https://www.instagram.com/reel/C85OZfOPEpL/,NÃO,
251,https://www.instagram.com/reel/C9CdpHHNc8k/,NÃO,
252,https://www.instagram.com/reel/C9Jz3hAuSvH/,NÃO,
253,https://www.instagram.com/reel/C69pBZbxD7h/,NÃO,
254,https://www.instagram.com/reel/C8xswp5ptIT/,NÃO,
255,https://www.instagram.com/reel/C9XXW3eutv2/,NÃO,
256,https://www.instagram.com/reel/C9f11nrvnvz/,NÃO,
257,https://www.instagram.com/reel/C9ny1zpP_HD/,NÃO,
258,https://www.instagram.com/reel/C89tcMZNfLJ/,NÃO,
259,https://www.instagram.com/reel/C9nDWa2xabw/,NÃO,
260,https://www.instagram.com/reel/C9fZIa_PyAk/,NÃO,
261,https://www.instagram.com/reel/C9KXPq4O52I/,NÃO,
262,https://www.instagram.com/p/C9n2ECHOyMT/,NÃO,
263,https://www.instagram.com/reel/C9lMfW-PyjX/,NÃO,
264,https://www.instagram.com/reel/C9leV5tOmbG/,NÃO,
265,https://www.instagram.com/reel/C9j72qPOeAD/,NÃO,
266,https://www.instagram.com/reel/C7_2cSquewS/,NÃO,
267,https://www.instagram.com/reel/C9iW1WZPivC/,NÃO,
268,https://www.instagram.com/reel/C8h1ceqIaRK/,NÃO,
269,https://www.instagram.com/reel/C9fwQ6Tv3uE/,NÃO,
270,https://www.instagram.com/reel/C9dToPcvqgv/,NÃO,
271,https://www.instagram.com/reel/C9VaE3uthVP/,NÃO,
272,https://www.instagram.com/reel/C9ZxCf2uxM2/,NÃO,
273,https://www.instagram.com/reel/C9XtSJuuVxJ/,NÃO,
274,https://www.instagram.com/reel/C7oc-FhsvSG/,NÃO,
275,https://www.instagram.com/reel/C9NuqqhRY1K/,NÃO,
276,https://www.instagram.com/reel/C8_vny5pewv/,NÃO,
277,https://www.instagram.com/reel/C8zBMsKSlew/,NÃO,
278,https://www.instagram.com/reel/C8wZ9PXuhE7/,NÃO,
279,https://www.instagram.com/reel/C9P5YXEszhq/,NÃO,
280,https://www.instagram.com/reel/C9PoCj-ilja/,NÃO,
281,https://www.instagram.com/reel/CrAF2iVRZge/,NÃO,
282,https://www.instagram.com/reel/C9FcaPmsT36/,NÃO,
283,https://www.instagram.com/reel/C9IN_erMNYd/,NÃO,
284,https://www.instagram.com/reel/C8rvLXzol4e/,NÃO,
285,https://www.instagram.com/reel/C8lkA_EKhFQ/,NÃO,
286,https://www.instagram.com/reel/C6ctNPPL1mT/,NÃO,
287,https://www.instagram.com/reel/C7M34m6PqRK/,NÃO,
288,https://www.instagram.com/reel/C6pV41dL61p/,NÃO,
289,https://www.instagram.com/reel/C8exeg1u97z/,NÃO,
290,https://www.instagram.com/reel/C8e2Rq7Nx1h/,NÃO,
291,https://www.instagram.com/reel/C8XshnLvZ4S/,NÃO,
292,https://www.instagram.com/reel/C6KVmPcMttL/,NÃO,
293,https://www.instagram.com/reel/C5eqeSIuKro/,NÃO,
294,https://www.instagram.com/reel/C681j81uVMb/,NÃO,
295,https://www.instagram.com/reel/C8e4CxHRX7e/,NÃO,
296,https://www.instagram.com/reel/C8fu7FjsOZV/,NÃO,
297,https://www.instagram.com/reel/C8fXd7wPErT/,NÃO,
298,https://www.instagram.com/reel/C8XcnO5ipPY/,NÃO,
299,https://www.instagram.com/reel/C8Nrfo9pUP5/,NÃO,
300,https://www.instagram.com/reel/C7WiWkyI1Vb/,NÃO,
301,https://www.instagram.com/reel/C8MZ7W7xPWs/,NÃO,
302,https://www.instagram.com/reel/C71hAETx0ko/,NÃO,
303,https://www.instagram.com/p/C6tmgNyghCb/,NÃO,
304,https://www.instagram.com/reel/C7_UXWdttnq/,NÃO,
305,https://www.instagram.com/reel/C7W5ORdoz22/,NÃO,
306,https://www.instagram.com/reel/C8HsMK7hpey/,NÃO,
307,https://www.instagram.com/reel/C8GHb88uOg3/,NÃO,
308,https://www.instagram.com/reel/C6PN4NVOl4E/,NÃO,
309,https://www.instagram.com/reel/C6MzQJhMMWa/,NÃO,
310,https://www.instagram.com/reel/C7x3wcKOMB4/,NÃO,
311,https://www.instagram.com/reel/C7XFkzzO6z6/,NÃO,
312,https://www.instagram.com/reel/C6gdUNlOlw-/,NÃO,
313,https://www.instagram.com/reel/C74QjKyunJH/,NÃO,
314,https://www.instagram.com/reel/C6uYcQUO1f1/,NÃO,
315,https://www.instagram.com/reel/C7W0WNqui2H/,NÃO,
316,https://www.instagram.com/reel/C7NKpfnxb3F/,NÃO,
317,https://www.instagram.com/reel/C7o3rpOiLqg/,NÃO,
318,https://www.instagram.com/reel/C7CRANKt-LW/,NÃO,
319,https://www.instagram.com/reel/C6rNeTtpjRX/,NÃO,
320,https://www.instagram.com/reel/C7MaN8frl2j/,NÃO,
321,https://www.instagram.com/reel/C7ewZEqKQKL/,NÃO,
322,https://www.instagram.com/reel/C5ZKKefOCAJ/,NÃO,
323,https://www.instagram.com/reel/C6exAqaCxZ4/,NÃO,
324,https://www.instagram.com/reel/C7NRt1GOzBG/,NÃO,
325,https://www.instagram.com/reel/C6_m8YQCGCI/,NÃO,
